VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseRupees,TotalSalesQuantity,TotalSalesRupees,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,30.2,100,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,31.06,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,40.29,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,46.52,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,56.25,100,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,73.19,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,76.47,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,79.87,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,114.73,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,131.74,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,148.64,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,158.21,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,165.53,500,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,167.14,200,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,172.48,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,176.96,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,179.27,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,214.2,250,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,237.1,100,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,256.32,100,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,274.68,1000,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1001,Nestle Suppliers,Nestle,Biscuits 1kg,219.74,288.4,100,100,21974,1285,198505.3,3119.25,19850.53,15880.4,176531.3,88.9302703756524,12.85,9.03364430690816,219.74,Large,0
1004,Amul Wholesale,Amul,Milk 100g,212.35,38.51,100,100,21235,840,154557.9,2298.46,15455.79,11591.72,133322.9,86.2608122910573,8.4,7.27845067106193,212.35,Large,0
1004,Amul Wholesale,Amul,Milk 100g,212.35,62.68,250,100,21235,840,154557.9,2298.46,15455.79,11591.72,133322.9,86.2608122910573,8.4,7.27845067106193,212.35,Large,0
1004,Amul Wholesale,Amul,Milk 100g,212.35,77.2,1000,100,21235,840,154557.9,2298.46,15455.79,11591.72,133322.9,86.2608122910573,8.4,7.27845067106193,212.35,Large,0
1004,Amul Wholesale,Amul,Milk 100g,212.35,92.2,1000,100,21235,840,154557.9,2298.46,15455.79,11591.72,133322.9,86.2608122910573,8.4,7.27845067106193,212.35,Large,0
